#{"t_start": 1787331164.389289, "env_id": "None"}
r,l,t
3.87,13,64.413215
5.83,17,64.419779
3.92,8,64.423225
1.88,12,64.427248
3.86,14,64.432051
1.96,4,64.433612
3.79,21,64.441124
5.89,11,64.444719
1.84,16,64.450442
5.83,17,64.45591
13.8,20,64.904244
1.96,4,64.90774
13.78,22,64.91646
1.87,13,64.921287
3.85,15,64.927933
1.96,4,64.929445
1.96,4,64.931801
1.87,13,64.936813
1.96,4,64.938538
1.96,4,64.941585
5.83,17,64.948246
1.96,4,64.949915
13.79,21,65.452744
13.75,25,65.463165
1.84,16,65.475154
3.92,8,65.478688
5.84,16,65.485407
1.96,4,65.486905
13.82,18,65.494072
3.92,8,65.496774
13.8,20,65.975861
13.82,18,65.982283
5.85,15,65.98768
3.89,11,65.99196
1.96,4,65.993377
5.79,21,66.00123
1.87,13,66.006197
3.84,16,66.011405
5.84,16,66.016681
1.96,4,66.018059
5.69,31,66.369366
-0.01,1,66.370007
5.78,22,66.377697
5.84,16,66.383121
1.96,4,66.384751
3.82,18,66.391247
3.92,8,66.393938
13.78,22,66.400814
3.87,13,66.405333
5.72,28,66.793738
1.96,4,66.79532
1.86,14,66.800856
13.82,18,66.808198
5.76,24,66.819394
1.96,4,66.821111
1.96,4,66.824974
3.83,17,66.837602
1.96,4,66.840567
5.67,33,67.353408
1.96,4,67.35549
3.89,11,67.359193
1.93,7,67.361467
13.8,20,67.368589
5.76,24,67.377105
5.77,23,67.385196
1.9,10,67.389499
5.82,18,67.782078
13.81,19,67.788878
3.92,8,67.791749
1.91,9,67.794703
1.96,4,67.796054
5.84,16,67.802135
13.81,19,67.809251
13.73,27,67.819107
1.89,11,67.823673
1.88,12,68.198247
5.69,31,68.20914
1.96,4,68.21055
5.84,16,68.215853
1.96,4,68.217233
3.86,14,68.221639
1.96,4,68.223727
1.96,4,68.225442
5.77,23,68.233418
5.73,27,68.674421
1.96,4,68.675893
1.94,6,68.677875
5.84,16,68.683905
1.96,4,68.685367
-0.01,1,68.685786
1.91,9,68.688738
1.96,4,68.690758
5.8,20,68.697628
3.91,9,68.70069
3.88,12,68.705163
5.82,18,68.711468
5.83,17,68.717536
3.92,8,69.042718
3.87,13,69.046936
1.96,4,69.048271
3.88,12,69.052751
5.8,20,69.05992
1.89,11,69.063605
3.88,12,69.067412
1.96,4,69.069025
5.84,16,69.075008
1.96,4,69.07644
1.89,11,69.080038
3.88,12,69.084039
5.72,28,69.406936
13.73,27,69.416435
13.77,23,69.424926
13.79,21,69.432353
3.84,16,69.43766
3.85,15,69.443312
1.96,4,69.767705
5.85,15,69.772544
1.96,4,69.773879
5.84,16,69.779856
5.76,24,69.788002
3.84,16,69.793577
1.84,16,69.798984
3.85,15,69.804035
1.9,10,69.807474
13.68,32,70.180289
3.85,15,70.185851
5.67,33,70.197712
13.81,19,70.203994
3.87,13,70.208868
5.82,18,70.215611
5.84,16,70.587564
13.78,22,70.595286
3.91,9,70.598518
3.88,12,70.602399
1.96,4,70.604163
1.96,4,70.605886
3.89,11,70.610138
3.92,8,70.612794
13.69,31,70.622958
5.79,21,71.073867
5.83,17,71.079394
3.85,15,71.085172
13.8,20,71.092774
13.8,20,71.099449
1.96,4,71.100809
1.9,10,71.104805
13.81,19,71.111855
13.81,19,71.118549
13.8,20,71.449033
3.9,10,71.452684
3.91,9,71.455948
1.88,12,71.460033
1.96,4,71.461712
1.88,12,71.466052
1.96,4,71.467447
3.89,11,71.471157
13.81,19,71.478045
5.67,33,71.88634
3.87,13,71.891276
3.9,10,71.895171
1.96,4,71.896635
3.86,14,71.901657
1.88,12,71.905829
3.92,8,71.90892
13.82,18,71.915844
3.91,9,71.91877
3.9,10,71.921977
3.76,24,71.929943
3.86,14,72.316894
1.96,4,72.318363
5.8,20,72.32586
13.82,18,72.332642
5.76,24,72.340368
13.78,22,72.34845
1.96,4,72.349862
3.9,10,72.353638
1.96,4,72.35507
3.92,8,72.3581
13.71,29,72.735789
3.88,12,72.74042
13.78,22,72.748223
5.81,19,72.754245
3.85,15,72.7592
3.89,11,72.762844
13.81,19,72.769557
13.78,22,73.198649
5.82,18,73.205054
3.86,14,73.210299
5.82,18,73.217413
13.64,36,73.229496
5.84,16,73.235028
3.86,14,73.634095
13.78,22,73.642176
3.78,22,73.650229
13.8,20,73.657435
3.88,12,73.661873
13.74,26,73.671253
3.92,8,73.67497
13.81,19,74.120442
13.79,21,74.128047
13.79,21,74.135211
13.78,22,74.14327
3.86,14,74.149162
13.82,18,74.154979
13.81,19,74.161606
13.8,20,74.5077
3.87,13,74.512464
3.82,18,74.518805
3.89,11,74.522798
3.88,12,74.526906
13.8,20,74.533734
5.83,17,74.539176
5.79,21,74.861943
3.86,14,74.866629
1.96,4,74.867996
1.96,4,74.869316
3.85,15,74.875152
13.8,20,74.881846
5.8,20,74.888502
13.81,19,74.89494
3.9,10,74.898196
5.8,20,74.905543
1.96,4,75.22784
5.62,38,75.24182
3.84,16,75.2474
13.76,24,75.254992
13.67,33,75.266301
3.83,17,75.699389
1.96,4,75.700937
13.74,26,75.71137
3.86,14,75.71605
1.92,8,75.719375
13.67,33,75.730899
1.96,4,75.732713
5.75,25,75.741446
13.7,30,76.204163
5.7,30,76.214036
13.7,30,76.224776
1.96,4,76.226241
13.65,35,76.238809
3.78,22,76.635766
3.87,13,76.640128
13.56,44,76.654545
1.89,11,76.658919
13.63,37,76.671735
13.78,22,77.102566
3.85,15,77.108152
3.9,10,77.111544
13.72,28,77.12112
1.96,4,77.122631
5.67,33,77.134649
13.74,26,77.143644
1.96,4,77.578148
1.96,4,77.580071
3.87,13,77.585312
13.66,34,77.596298
13.79,21,77.603577
5.75,25,77.6126
1.96,4,77.614256
3.92,8,77.617509
3.6,40,78.114331
5.75,25,78.122654
5.74,26,78.131782
3.85,15,78.137363
3.8,20,78.14467
1.96,4,78.146307
5.73,27,78.463812
1.96,4,78.465759
3.87,13,78.470571
3.92,8,78.4738
1.96,4,78.475264
1.96,4,78.476644
3.89,11,78.480542
5.83,17,78.486581
-0.01,1,78.487029
3.92,8,78.490153
5.58,42,78.50356
5.26,74,79.082694
3.87,13,79.087062
1.96,4,79.088767
5.5,50,79.775782
5.68,32,79.786778
3.86,14,79.791922
-0.01,1,79.792394
13.72,28,79.801799
3.75,25,79.810662
1.96,4,79.812183
3.85,15,80.286687
1.96,4,80.288274
13.56,44,80.303394
5.44,56,80.322139
0.0,100,80.885642
13.07,93,81.543476
3.86,14,81.548239
13.71,29,81.55899
13.65,35,81.571034
13.65,35,82.022569
3.55,45,82.037676
5.68,32,82.048385
3.75,25,82.502264
3.75,25,82.5117
13.54,46,82.528034
13.5,50,82.545401
13.55,45,83.032268
13.73,27,83.042299
1.96,4,83.043713
5.77,23,83.050939
13.53,47,83.449836
13.45,55,83.468555
3.79,21,83.475162
13.79,21,83.484425
3.92,8,83.487168
13.71,29,83.963029
5.74,26,83.972459
5.72,28,83.982269
3.88,12,83.986617
13.58,42,84.001736
1.96,4,84.3883
3.7,30,84.399199
