#{"t_start": 1787328354.86434, "env_id": "None"}
r,l,t
1.96,4,13.519967
5.92,8,13.522881
3.95,5,13.524747
1.96,4,13.526248
-0.01,1,13.526698
3.95,5,13.52855
3.95,5,13.530405
5.91,9,13.533695
1.97,3,13.534864
1.97,3,13.536012
-0.01,1,13.536455
-0.02,2,13.537249
3.93,7,13.539811
1.97,3,13.540958
-0.01,1,13.541397
-0.01,1,13.541838
-0.01,1,13.542282
-0.01,1,13.542726
1.97,3,13.543871
1.97,3,13.814635
1.97,3,13.816061
1.97,3,13.817513
-0.02,2,13.818425
1.97,3,13.819651
-0.02,2,13.820484
-0.01,1,13.820949
1.96,4,13.82265
3.95,5,13.824575
1.97,3,13.825748
-0.02,2,13.826557
-0.01,1,13.827012
-0.01,1,13.827461
-0.01,1,13.827905
1.96,4,13.829418
13.91,9,13.832897
1.97,3,13.834128
1.96,4,13.835733
1.97,3,13.836933
1.96,4,13.838486
-0.01,1,13.83895
-0.01,1,13.839412
5.93,7,13.84219
-0.01,1,13.842678
-0.01,1,13.843144
1.97,3,13.84434
-0.03,3,13.84552
-0.01,1,13.845967
-0.01,1,13.846421
1.97,3,13.847582
3.94,6,13.84982
1.97,3,13.850991
-0.01,1,13.851438
1.97,3,13.852594
1.97,3,13.853745
-0.01,1,13.85419
3.95,5,13.856038
-0.02,2,13.856836
5.9,10,13.860429
3.94,6,13.862632
1.97,3,13.863782
13.9,10,14.190948
1.96,4,14.192753
13.9,10,14.196935
1.97,3,14.198617
-0.01,1,14.199197
-0.01,1,14.199685
-0.01,1,14.200198
1.97,3,14.201516
1.96,4,14.203633
13.87,13,14.209985
1.96,4,14.211849
3.94,6,14.214114
3.94,6,14.216347
1.95,5,14.218436
1.97,3,14.219813
1.94,6,14.222203
-0.02,2,14.223053
1.97,3,14.22427
1.96,4,14.225834
-0.01,1,14.226293
-0.01,1,14.226752
1.97,3,14.227961
1.96,4,14.229515
-0.01,1,14.229984
1.96,4,14.231585
-0.01,1,14.232084
1.94,6,14.234343
0.97,3,14.235502
5.92,8,14.238511
5.93,7,14.241132
3.93,7,14.548386
1.97,3,14.549674
1.96,4,14.551202
1.96,4,14.552721
3.93,7,14.555322
-0.01,1,14.556119
3.95,5,14.558381
1.97,3,14.559734
-0.01,1,14.560213
-0.01,1,14.56066
-0.01,1,14.561103
1.97,3,14.562248
3.95,5,14.564094
1.97,3,14.565253
1.96,4,14.567112
-0.01,1,14.567625
5.92,8,14.570763
3.94,6,14.573072
-0.02,2,14.573875
1.95,5,14.575888
5.92,8,14.579696
-0.01,1,14.580213
3.95,5,14.582216
1.97,3,14.583435
-0.01,1,14.583901
13.9,10,14.587789
3.95,5,14.589657
-0.01,1,14.590107
3.94,6,14.59231
-0.02,2,14.593109
-0.02,2,14.5939
-0.02,2,14.594689
-0.03,3,14.595986
-0.01,1,14.596734
1.97,3,14.597963
-0.01,1,14.598421
1.96,4,14.894628
-0.01,1,14.895232
1.97,3,14.896621
3.94,6,14.898899
-0.01,1,14.899358
1.96,4,14.900875
1.94,6,14.903078
1.97,3,14.904586
-0.01,1,14.905132
1.97,3,14.906334
5.9,10,14.909927
-0.01,1,14.910373
3.95,5,14.912202
1.97,3,14.913338
2.95,5,14.915523
-0.02,2,14.916377
2.94,6,14.918597
-0.03,3,14.919761
1.97,3,14.922145
1.96,4,14.923869
1.96,4,14.925848
-0.01,1,14.926408
3.95,5,14.928331
1.96,4,14.930023
3.95,5,14.931877
1.97,3,14.933014
1.97,3,14.934145
-0.01,1,14.934777
-0.01,1,14.935395
2.94,6,14.938191
3.94,6,14.940374
-0.01,1,14.940812
-0.01,1,14.941258
-0.02,2,14.942044
3.94,6,14.944219
1.97,3,14.946072
5.92,8,15.249856
1.97,3,15.251103
1.96,4,15.252635
-0.01,1,15.253082
-0.01,1,15.254837
1.97,3,15.256254
-0.01,1,15.256729
1.97,3,15.257923
-0.01,1,15.258374
1.96,4,15.259895
1.97,3,15.261049
1.97,3,15.262226
1.97,3,15.263665
-0.01,1,15.264179
1.97,3,15.265412
-0.01,1,15.265886
-0.01,1,15.266353
1.96,4,15.267923
1.95,5,15.270129
1.95,5,15.272138
-0.01,1,15.272924
1.97,3,15.274395
3.95,5,15.276599
1.96,4,15.278112
-0.01,1,15.278561
1.97,3,15.279705
1.96,4,15.281216
5.91,9,15.284456
-0.01,1,15.285223
-0.01,1,15.28581
-0.01,1,15.28628
-0.01,1,15.286752
1.97,3,15.288032
-0.01,1,15.288519
1.97,3,15.289691
1.97,3,15.290874
1.97,3,15.292177
1.97,3,15.293391
-0.01,1,15.293856
-0.01,1,15.294311
1.94,6,15.296993
-0.01,1,15.297548
3.95,5,15.299455
3.93,7,15.302018
1.95,5,15.708957
-0.03,3,15.710303
1.97,3,15.711509
3.95,5,15.713402
5.92,8,15.716329
1.96,4,15.718159
3.95,5,15.720561
2.94,6,15.723108
3.95,5,15.725181
-0.01,1,15.725652
3.95,5,15.72752
3.95,5,15.730239
13.91,9,15.733645
-0.01,1,15.734108
5.87,13,15.739395
-0.02,2,15.740313
-0.02,2,15.741139
1.96,4,15.742655
-0.01,1,15.743105
3.91,9,15.746388
1.95,5,15.748689
-0.01,1,15.749276
-0.01,1,15.749763
3.95,5,15.751687
3.95,5,15.753557
3.94,6,15.755887
1.97,3,15.757062
1.97,3,15.758377
3.93,7,15.761088
3.95,5,16.065446
-0.01,1,16.065977
-0.02,2,16.066793
-0.01,1,16.067249
-0.02,2,16.068056
-0.01,1,16.068501
-0.01,1,16.068945
-0.01,1,16.069387
-0.01,1,16.069837
3.95,5,16.071692
-0.01,1,16.072135
1.97,3,16.073868
-0.02,2,16.074834
1.97,3,16.076092
1.95,5,16.07806
1.96,4,16.079804
1.96,4,16.08139
1.97,3,16.082685
13.91,9,16.086522
5.93,7,16.089137
-0.01,1,16.089611
3.95,5,16.091504
-0.01,1,16.09195
3.95,5,16.094546
1.96,4,16.096432
3.93,7,16.100547
5.92,8,16.10352
-0.02,2,16.104842
3.93,7,16.107827
-0.01,1,16.108331
1.97,3,16.109578
1.97,3,16.11101
-0.02,2,16.111923
-0.01,1,16.112444
1.97,3,16.113804
-0.01,1,16.114312
1.97,3,16.115508
1.97,3,16.116696
-0.04,4,16.118229
-0.01,1,16.118689
1.97,3,16.403592
1.97,3,16.404998
1.97,3,16.406206
-0.01,1,16.406657
-0.01,1,16.407108
13.9,10,16.410719
1.97,3,16.411875
1.97,3,16.413479
5.93,7,16.416135
-0.01,1,16.416601
1.97,3,16.417757
1.97,3,16.418914
-0.02,2,16.419706
3.94,6,16.421896
-0.01,1,16.422656
-0.01,1,16.423389
1.97,3,16.424692
-0.02,2,16.425542
3.95,5,16.4275
3.95,5,16.429438
-0.01,1,16.429903
1.97,3,16.432613
0.97,3,16.434251
-0.01,1,16.434806
-0.02,2,16.435737
-0.02,2,16.436629
-0.01,1,16.437116
-0.01,1,16.437658
1.97,3,16.438991
13.9,10,16.443133
1.97,3,16.444682
-0.01,1,16.445188
3.95,5,16.447142
-0.01,1,16.44761
5.93,7,16.450183
-0.01,1,16.450636
3.95,5,16.452479
13.91,9,16.456767
-0.01,1,16.457272
3.95,5,16.768841
5.92,8,16.771973
1.97,3,16.773143
3.95,5,16.77502
1.96,4,16.776539
-0.01,1,16.777028
1.97,3,16.778896
-0.01,1,16.779471
3.95,5,16.781681
-0.01,1,16.782196
-0.01,1,16.782655
3.95,5,16.784526
1.97,3,16.785693
1.97,3,16.786841
1.96,4,16.788658
3.93,7,16.791832
