#{"t_start": 1787334052.112553, "env_id": "None"}
r,l,t
1.97,3,10.203568
3.92,8,10.20602
3.95,5,10.207577
13.89,11,10.211451
5.93,7,10.213831
3.93,7,10.216085
3.95,5,10.217745
5.91,9,10.220566
1.94,6,10.222444
3.95,5,10.224291
5.93,7,10.226914
-0.02,2,10.227653
3.95,5,10.229458
13.91,9,10.23312
1.95,5,10.377588
5.91,9,10.380493
1.95,5,10.382074
3.95,5,10.383662
1.94,6,10.385526
1.96,4,10.387163
3.95,5,10.388881
1.97,3,10.389891
-0.02,2,10.390603
3.95,5,10.392237
3.95,5,10.393848
1.95,5,10.395452
1.97,3,10.396465
1.97,3,10.397462
13.87,13,10.401456
3.95,5,10.403047
3.95,5,10.404636
1.97,3,10.405621
13.91,9,10.408417
13.91,9,10.411194
1.97,3,10.412196
-0.04,4,10.413481
3.95,5,10.415061
1.96,4,10.41634
1.97,3,10.417325
1.97,3,10.572265
1.97,3,10.573465
-0.03,3,10.574521
3.93,7,10.576743
1.96,4,10.578048
3.95,5,10.57965
1.97,3,10.580639
1.97,3,10.581646
3.95,5,10.583237
1.96,4,10.58452
3.92,8,10.587005
1.97,3,10.587993
3.95,5,10.589576
1.96,4,10.590866
1.96,4,10.592144
1.97,3,10.59312
3.94,6,10.594996
5.93,7,10.597193
3.95,5,10.598784
1.97,3,10.599766
3.95,5,10.601354
3.94,6,10.603231
1.97,3,10.604222
3.95,5,10.605802
1.97,3,10.606773
1.97,3,10.60775
1.97,3,10.608727
3.93,7,10.610875
3.92,8,10.729232
3.95,5,10.731035
5.93,7,10.733261
1.97,3,10.734265
3.95,5,10.735858
-0.03,3,10.736858
1.95,5,10.738449
3.94,6,10.740324
3.95,5,10.741913
3.95,5,10.747427
1.97,3,10.751824
1.95,5,10.753471
1.97,3,10.754486
3.95,5,10.756098
3.95,5,10.757698
1.97,3,10.758698
1.97,3,10.759694
5.93,7,10.76189
13.9,10,10.764983
-0.01,1,10.765383
3.95,5,10.766975
1.97,3,10.76798
3.95,5,10.769575
3.95,5,10.771165
1.97,3,10.772156
1.94,6,10.774043
1.96,4,10.775331
3.95,5,10.776909
-0.01,1,10.7773
3.95,5,10.910654
-0.01,1,10.911117
1.97,3,10.912145
5.91,9,10.914925
3.95,5,10.916501
3.95,5,10.91808
1.97,3,10.919417
2.95,5,10.921203
